WARNING: lifecycle fault-injection test executable; not a product server
{"timestamp":"2026-09-21T17:00:17.163Z","level":"info","event":"server_starting","version":"0.2.0-dev-fault-test","model":"gem16","host":"127.0.0.1","port":"18087"}
{"timestamp":"2026-09-21T17:00:19.874Z","level":"info","event":"model_loaded","variant":"gemma4_unified_12b","native_path":"gemma4_unified_12b_sm120","weight_load_path":"canonical_safetensors_runtime_layout","weight_bytes":"9304895488","assistant_weight_bytes":"845714944","load_ms":"2196.066870"}
{"timestamp":"2026-09-21T17:00:19.891Z","level":"info","event":"execution_slots_admitted","slot_bytes":"2131071488","configured_slot_bytes":"4262142976","session_limit":"2","device_free_bytes":"4159897600","safety_margin_bytes":"734003200"}
{"timestamp":"2026-09-21T17:00:19.891Z","level":"info","event":"server_ready","host":"127.0.0.1","port":"18087","model":"gem16","session_limit":"2","max_queued_requests":"2","http_task_queue_limit":"20","startup_ms":"2727"}
{"timestamp":"2026-09-21T17:00:50.622Z","level":"info","event":"request_completed","request_id":"req_gem16_5ab2e9111c486034d5cc9515c46e915c","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"233.627000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:00:50.646Z","level":"warning","event":"request_completed","request_id":"req_gem16_b264e57f9442ba24b3bfee5a9fa29cdd","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.402000","queue_wait_ms":"0.000000","request_bytes":"4194637"}
{"timestamp":"2026-09-21T17:00:50.676Z","level":"warning","event":"request_completed","request_id":"req_gem16_aeb8fe5b5738bc9885fab766ab1c664d","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.597000","queue_wait_ms":"0.000000","request_bytes":"4194634"}
{"timestamp":"2026-09-21T17:00:50.705Z","level":"warning","event":"request_completed","request_id":"req_gem16_05fc5c858ee956489f73601c84eedf95","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.276000","queue_wait_ms":"0.000000","request_bytes":"4194636"}
{"timestamp":"2026-09-21T17:00:50.733Z","level":"warning","event":"request_completed","request_id":"req_gem16_bd4e570c323c4d537a79c0c295df0943","method":"POST","route":"/v1/responses","status":"409","duration_ms":"14.858000","queue_wait_ms":"0.000000","request_bytes":"4194633"}
{"timestamp":"2026-09-21T17:00:50.982Z","level":"info","event":"request_completed","request_id":"req_gem16_055866dfb569eaf2f884304aea366c72","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"234.563000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:00:51.003Z","level":"warning","event":"request_completed","request_id":"req_gem16_8ff8a23d83dc5bc75cef1868f21bee19","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"13.213000","queue_wait_ms":"0.000000","request_bytes":"4194637"}
{"timestamp":"2026-09-21T17:00:51.032Z","level":"warning","event":"request_completed","request_id":"req_gem16_cba65f41b5b5743a15df5ee7cad677f1","method":"POST","route":"/v1/responses","status":"409","duration_ms":"13.056000","queue_wait_ms":"0.000000","request_bytes":"4194634"}
{"timestamp":"2026-09-21T17:00:51.061Z","level":"warning","event":"request_completed","request_id":"req_gem16_2e9566bbc33d28e5057e83a1ca55879d","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"13.321000","queue_wait_ms":"0.000000","request_bytes":"4194636"}
{"timestamp":"2026-09-21T17:00:51.088Z","level":"warning","event":"request_completed","request_id":"req_gem16_b20ba28954e6bcb45d2d754afa6276d2","method":"POST","route":"/v1/responses","status":"409","duration_ms":"12.154000","queue_wait_ms":"0.000000","request_bytes":"4194633"}
{"timestamp":"2026-09-21T17:00:51.331Z","level":"info","event":"request_completed","request_id":"req_gem16_8a99f513f27830155a6ff9b0fbcdd46c","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"226.705000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:00:51.354Z","level":"warning","event":"request_completed","request_id":"req_gem16_520b603062114499baf89b8d799b09a4","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"14.762000","queue_wait_ms":"0.000000","request_bytes":"4194637"}
{"timestamp":"2026-09-21T17:00:51.394Z","level":"warning","event":"request_completed","request_id":"req_gem16_8009c0d2e15d6e17628db37f20a78000","method":"POST","route":"/v1/responses","status":"409","duration_ms":"25.877000","queue_wait_ms":"0.000000","request_bytes":"4194634"}
{"timestamp":"2026-09-21T17:00:51.423Z","level":"warning","event":"request_completed","request_id":"req_gem16_a5cc3158ef02af4e02713a1c9b8413a7","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"14.592000","queue_wait_ms":"0.000000","request_bytes":"4194636"}
{"timestamp":"2026-09-21T17:00:51.464Z","level":"warning","event":"request_completed","request_id":"req_gem16_e1f57546b3e07bc8e3e96fe79153c481","method":"POST","route":"/v1/responses","status":"409","duration_ms":"26.108000","queue_wait_ms":"0.000000","request_bytes":"4194633"}
{"timestamp":"2026-09-21T17:00:51.703Z","level":"info","event":"request_completed","request_id":"req_gem16_6c405653e1df18ba9f06fa05d112906d","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"223.711000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:00:51.745Z","level":"warning","event":"request_completed","request_id":"req_gem16_d788e4edf3a4141d22f32b66d7c5fda3","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"34.674000","queue_wait_ms":"0.000000","request_bytes":"4194637"}
{"timestamp":"2026-09-21T17:00:51.796Z","level":"warning","event":"request_completed","request_id":"req_gem16_2e4cee42f26eecc9a482c3228563237a","method":"POST","route":"/v1/responses","status":"409","duration_ms":"35.479000","queue_wait_ms":"0.000000","request_bytes":"4194634"}
{"timestamp":"2026-09-21T17:00:51.856Z","level":"warning","event":"request_completed","request_id":"req_gem16_bc8de3782f007918f3c2859ade32238f","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"46.409000","queue_wait_ms":"0.000000","request_bytes":"4194636"}
{"timestamp":"2026-09-21T17:00:51.916Z","level":"warning","event":"request_completed","request_id":"req_gem16_fd3f407146d7e57576704ac5ed8e8254","method":"POST","route":"/v1/responses","status":"409","duration_ms":"46.080000","queue_wait_ms":"0.000000","request_bytes":"4194633"}
{"timestamp":"2026-09-21T17:00:52.165Z","level":"info","event":"request_completed","request_id":"req_gem16_d4b0c292e7fddd3130617252617a1d6d","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"234.879000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:00:52.181Z","level":"warning","event":"request_completed","request_id":"req_gem16_7f6369457c66eddae312d0db735ef90f","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.453000","queue_wait_ms":"0.000000","request_bytes":"42993"}
{"timestamp":"2026-09-21T17:00:52.203Z","level":"warning","event":"request_completed","request_id":"req_gem16_7268350264c0ed4b077632b90c74f01c","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.373000","queue_wait_ms":"0.000000","request_bytes":"42997"}
{"timestamp":"2026-09-21T17:00:52.225Z","level":"warning","event":"request_completed","request_id":"req_gem16_874f570cace24d902fa83a92ebff41d7","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"15.333000","queue_wait_ms":"0.000000","request_bytes":"42992"}
{"timestamp":"2026-09-21T17:00:52.246Z","level":"warning","event":"request_completed","request_id":"req_gem16_ccf4063884722e135a9228335ebd7c20","method":"POST","route":"/v1/responses","status":"409","duration_ms":"15.475000","queue_wait_ms":"0.000000","request_bytes":"42996"}
{"timestamp":"2026-09-21T17:00:52.582Z","level":"info","event":"request_completed","request_id":"req_gem16_fbe9fcd97e555c5a8bd57d2009bca9a0","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"328.408000","queue_wait_ms":"0.000000","request_bytes":"42976"}
{"timestamp":"2026-09-21T17:00:52.821Z","level":"info","event":"request_completed","request_id":"req_gem16_5eaf44f8b74cce63e9158563567cb712","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"231.657000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:00:52.864Z","level":"warning","event":"request_completed","request_id":"req_gem16_014a222aeb00e1d9eab0e4b947bfed76","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"35.187000","queue_wait_ms":"0.000000","request_bytes":"4194724"}
{"timestamp":"2026-09-21T17:00:52.965Z","level":"info","event":"request_completed","request_id":"req_gem16_9d7bbfcac5405dc0d37cd9dfbf674957","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"87.623000","queue_wait_ms":"0.000000","request_bytes":"4194724"}
{"timestamp":"2026-09-21T17:01:22.975Z","level":"error","event":"request_completed","request_id":"req_gem16_1509456422686820ffc163fb839c61f3","method":"POST","route":"/v1/chat/completions","status":"503","duration_ms":"30002.321000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:01:23.388Z","level":"info","event":"request_completed","request_id":"req_gem16_aeaf9363fc0dcc81803d5d69de07ae22","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"403.445000","queue_wait_ms":"0.000000","request_bytes":"4194620"}
{"timestamp":"2026-09-21T17:01:23.510Z","level":"warning","event":"request_completed","request_id":"req_gem16_c779e79013bfd1f33edb077332a17866","method":"POST","route":"/v1/chat/completions","status":"409","duration_ms":"121.360000","queue_wait_ms":"0.000000","request_bytes":"178"}
{"timestamp":"2026-09-21T17:01:23.588Z","level":"info","event":"request_completed","request_id":"req_gem16_0ee64daf55956f756f790204710b1f21","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"75.126000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:01:23.706Z","level":"warning","event":"request_completed","request_id":"req_gem16_6f6a99cdebd2cb978c25d6bd4f2c4409","method":"POST","route":"/v1/responses","status":"409","duration_ms":"117.166000","queue_wait_ms":"0.000000","request_bytes":"145"}
{"timestamp":"2026-09-21T17:01:23.786Z","level":"info","event":"request_completed","request_id":"req_gem16_b7c0591858c5d80451235b1e4a45e1bf","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"73.478000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:01:23.807Z","level":"info","event":"request_completed","request_id":"req_gem16_7ab777e8b026cabcc10b3d01eb2bfdbe","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"19.305000","queue_wait_ms":"0.000000","request_bytes":"177"}
{"timestamp":"2026-09-21T17:01:23.990Z","level":"info","event":"request_completed","request_id":"req_gem16_fe4c26b8a23d831de6b498b147374398","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"77.033000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:01:24.011Z","level":"info","event":"request_completed","request_id":"req_gem16_de051b8799753a13704bc6f55a1cb2d5","method":"POST","route":"/v1/responses","status":"200","duration_ms":"20.067000","queue_wait_ms":"0.000000","request_bytes":"144"}
{"timestamp":"2026-09-21T17:01:24.195Z","level":"info","event":"request_completed","request_id":"req_gem16_8f2e9b75763a43cabd3c7985af0d261a","method":"POST","route":"/v1/chat/completions","status":"200","duration_ms":"80.715000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:01:24.216Z","level":"info","event":"request_completed","request_id":"req_gem16_39822d241d9ace753231cc6b465a4b85","method":"POST","route":"/v1/responses","status":"200","duration_ms":"19.739000","queue_wait_ms":"0.000000","request_bytes":"144"}
{"timestamp":"2026-09-21T17:01:24.290Z","level":"info","event":"request_completed","request_id":"req_gem16_93edf02e4f302039f9585f18c4064add","method":"POST","route":"/v1/responses/([^/]+)/cancel","status":"200","duration_ms":"0.013000","queue_wait_ms":"0.000000","request_bytes":"2"}
{"timestamp":"2026-09-21T17:01:24.310Z","level":"error","event":"request_completed","request_id":"req_gem16_4d057e343a086dea78b572a5a8314791","method":"POST","route":"/v1/chat/completions","status":"500","duration_ms":"2.215000","queue_wait_ms":"0.000000","request_bytes":"147"}
{"timestamp":"2026-09-21T17:01:24.348Z","level":"info","event":"shutdown_requested","signal":"15"}
{"timestamp":"2026-09-21T17:01:24.348Z","level":"info","event":"shutdown_completed","signal":"15"}
